original_filename,crop_idx,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,WRONG_file,FRCNN_source,BING_source
ALBRECHT_DURER_1.jpg,0,1,769,513,769,1,1362,513,1362,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,1,1,321,513,321,1,1153,513,1153,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,2,257,449,837,449,257,1362,837,1362,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,3,193,641,837,641,193,1362,837,1362,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,4,1,993,513,993,1,1362,513,1362,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,5,1,865,513,865,1,1362,513,1362,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,6,193,193,837,193,193,641,837,641,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,7,321,1057,837,1057,321,1362,837,1362,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,8,257,385,837,385,257,1025,837,1025,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,9,193,193,837,193,193,897,837,897,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,10,65,321,641,321,65,897,641,897,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,11,193,833,837,833,193,1362,837,1362,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,12,1,449,513,449,1,1153,513,1153,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,13,129,641,769,641,129,1362,769,1362,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,14,257,481,837,481,257,1217,837,1217,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,15,1,769,513,769,1,1362,513,1362,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,16,1,513,513,513,1,1362,513,1362,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,17,321,833,837,833,321,1362,837,1362,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,18,321,961,837,961,321,1362,837,1362,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,19,257,321,769,321,257,1153,769,1153,FALSE,FALSE,TRUE
ALBRECHT_DURER_1.jpg,20,220,158,444,158,220,382,444,382,FALSE,FALSE,FALSE
ALBRECHT_DURER_1.jpg,21,137,489,361,489,137,713,361,713,FALSE,FALSE,FALSE
ALBRECHT_DURER_1.jpg,22,555,422,779,422,555,646,779,646,FALSE,FALSE,FALSE
ALBRECHT_DURER_1.jpg,23,353,749,577,749,353,973,577,973,FALSE,FALSE,FALSE
ALBRECHT_DURER_1.jpg,24,539,377,763,377,539,601,763,601,FALSE,FALSE,FALSE
ALBRECHT_DURER_10.jpg,0,65,641,641,641,65,1328,641,1328,FALSE,FALSE,TRUE
