original_filename,crop_idx,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,WRONG_file,FRCNN_source,BING_source
CLAUDE_LORRAIN_22.jpg,0,751,1851,1016,1851,751,2250,1016,2250,FALSE,TRUE,FALSE
CLAUDE_LORRAIN_22.jpg,1,532,1729,731,1729,532,2088,731,2088,FALSE,TRUE,FALSE
CLAUDE_LORRAIN_22.jpg,2,850,463,1074,463,850,687,1074,687,FALSE,FALSE,FALSE
CLAUDE_LORRAIN_22.jpg,3,2875,1253,3099,1253,2875,1477,3099,1477,FALSE,FALSE,FALSE
CLAUDE_LORRAIN_22.jpg,4,858,938,1082,938,858,1162,1082,1162,FALSE,FALSE,FALSE
CLAUDE_LORRAIN_22.jpg,5,2027,16,2251,16,2027,240,2251,240,FALSE,FALSE,FALSE
CLAUDE_LORRAIN_22.jpg,6,672,1075,896,1075,672,1299,896,1299,FALSE,FALSE,FALSE
EDGAR_DEGAS_5.jpg,0,45,129,258,129,45,299,258,299,FALSE,TRUE,FALSE
EDGAR_DEGAS_5.jpg,1,160,210,406,210,160,567,406,567,FALSE,TRUE,FALSE
EDGAR_DEGAS_5.jpg,2,800,520,1024,520,800,744,1024,744,FALSE,FALSE,FALSE
EDGAR_DEGAS_5.jpg,3,691,530,915,530,691,754,915,754,FALSE,FALSE,FALSE
EDGAR_DEGAS_5.jpg,4,771,377,995,377,771,601,995,601,FALSE,FALSE,FALSE
EDGAR_DEGAS_5.jpg,5,213,216,437,216,213,440,437,440,FALSE,FALSE,FALSE
EDGAR_DEGAS_5.jpg,6,527,162,751,162,527,386,751,386,FALSE,FALSE,FALSE
EDOUARD_MANET_11.jpg,0,201,506,313,506,201,623,313,623,FALSE,TRUE,FALSE
EDOUARD_MANET_11.jpg,1,669,178,849,178,669,432,849,432,FALSE,TRUE,FALSE
EDOUARD_MANET_11.jpg,2,782,337,1018,337,782,502,1018,502,FALSE,TRUE,FALSE
EDOUARD_MANET_11.jpg,3,107,111,325,111,107,440,325,440,FALSE,TRUE,FALSE
EDOUARD_MANET_11.jpg,4,912,265,1136,265,912,489,1136,489,FALSE,FALSE,FALSE
EDOUARD_MANET_11.jpg,5,971,311,1195,311,971,535,1195,535,FALSE,FALSE,FALSE
EDOUARD_MANET_11.jpg,6,342,279,566,279,342,503,566,503,FALSE,FALSE,FALSE
EDOUARD_MANET_11.jpg,7,492,3,716,3,492,227,716,227,FALSE,FALSE,FALSE
EDOUARD_MANET_11.jpg,8,342,497,566,497,342,721,566,721,FALSE,FALSE,FALSE
EDVARD_MUNCH_10.jpg,0,145,75,629,75,145,575,629,575,FALSE,TRUE,FALSE
EDVARD_MUNCH_10.jpg,1,367,164,591,164,367,388,591,388,FALSE,FALSE,FALSE
EDVARD_MUNCH_10.jpg,2,124,304,348,304,124,528,348,528,FALSE,FALSE,FALSE
EDVARD_MUNCH_10.jpg,3,494,71,718,71,494,295,718,295,FALSE,FALSE,FALSE
EDVARD_MUNCH_10.jpg,4,379,283,603,283,379,507,603,507,FALSE,FALSE,FALSE
EDVARD_MUNCH_10.jpg,5,448,92,672,92,448,316,672,316,FALSE,FALSE,FALSE
FRANCISCO_DE_ZURBARAN_48.jpg,0,419,308,1934,308,419,3043,1934,3043,FALSE,TRUE,FALSE
FRANCISCO_DE_ZURBARAN_48.jpg,1,1320,1206,1444,1206,1320,1531,1444,1531,FALSE,TRUE,FALSE
FRANCISCO_DE_ZURBARAN_48.jpg,2,584,2020,808,2020,584,2244,808,2244,FALSE,FALSE,FALSE
FRANCISCO_DE_ZURBARAN_48.jpg,3,185,1663,409,1663,185,1887,409,1887,FALSE,FALSE,FALSE
FRANCISCO_DE_ZURBARAN_48.jpg,4,1191,1932,1415,1932,1191,2156,1415,2156,FALSE,FALSE,FALSE
FRANCISCO_DE_ZURBARAN_48.jpg,5,1749,1332,1973,1332,1749,1556,1973,1556,FALSE,FALSE,FALSE
FRANCISCO_DE_ZURBARAN_48.jpg,6,1558,325,1782,325,1558,549,1782,549,FALSE,FALSE,FALSE
GEORGES_SEURAT_36.jpg,0,1078,492,1302,492,1078,716,1302,716,FALSE,FALSE,FALSE
GEORGES_SEURAT_36.jpg,1,357,448,581,448,357,672,581,672,FALSE,FALSE,FALSE
GEORGES_SEURAT_36.jpg,2,457,7,681,7,457,231,681,231,FALSE,FALSE,FALSE
GEORGES_SEURAT_36.jpg,3,796,236,1020,236,796,460,1020,460,FALSE,FALSE,FALSE
GEORGES_SEURAT_36.jpg,4,1074,340,1298,340,1074,564,1298,564,FALSE,FALSE,FALSE
GUSTAVE_COURBET_34.jpg,0,309,681,452,681,309,707,452,707,FALSE,TRUE,FALSE
GUSTAVE_COURBET_34.jpg,1,624,619,848,619,624,843,848,843,FALSE,FALSE,FALSE
GUSTAVE_COURBET_34.jpg,2,807,514,1031,514,807,738,1031,738,FALSE,FALSE,FALSE
GUSTAVE_COURBET_34.jpg,3,28,18,252,18,28,242,252,242,FALSE,FALSE,FALSE
GUSTAVE_COURBET_34.jpg,4,170,218,394,218,170,442,394,442,FALSE,FALSE,FALSE
GUSTAVE_COURBET_34.jpg,5,560,343,784,343,560,567,784,567,FALSE,FALSE,FALSE
GUSTAV_KLIMT_3.jpg,0,304,623,528,623,304,847,528,847,FALSE,FALSE,FALSE
GUSTAV_KLIMT_3.jpg,1,983,1344,1207,1344,983,1568,1207,1568,FALSE,FALSE,FALSE
GUSTAV_KLIMT_3.jpg,2,2319,741,2543,741,2319,965,2543,965,FALSE,FALSE,FALSE
GUSTAV_KLIMT_3.jpg,3,1647,1474,1871,1474,1647,1698,1871,1698,FALSE,FALSE,FALSE
GUSTAV_KLIMT_3.jpg,4,1651,212,1875,212,1651,436,1875,436,FALSE,FALSE,FALSE
HANS_MEMLING_26.jpg,0,837,428,1061,428,837,652,1061,652,FALSE,FALSE,FALSE
HANS_MEMLING_26.jpg,1,365,367,589,367,365,591,589,591,FALSE,FALSE,FALSE
HANS_MEMLING_26.jpg,2,507,226,731,226,507,450,731,450,FALSE,FALSE,FALSE
HANS_MEMLING_26.jpg,3,266,374,490,374,266,598,490,598,FALSE,FALSE,FALSE
HANS_MEMLING_26.jpg,4,547,78,771,78,547,302,771,302,FALSE,FALSE,FALSE
HENRI_MATISSE_18.jpg,0,1,79,510,79,1,1377,510,1377,FALSE,TRUE,FALSE
HENRI_MATISSE_18.jpg,1,639,61,1449,61,639,1708,1449,1708,FALSE,TRUE,FALSE
HENRI_MATISSE_18.jpg,2,553,822,777,822,553,1046,777,1046,FALSE,FALSE,FALSE
HENRI_MATISSE_18.jpg,3,589,1698,813,1698,589,1922,813,1922,FALSE,FALSE,FALSE
HENRI_MATISSE_18.jpg,4,3,1734,227,1734,3,1958,227,1958,FALSE,FALSE,FALSE
HENRI_MATISSE_18.jpg,5,530,1154,754,1154,530,1378,754,1378,FALSE,FALSE,FALSE
