file_name,crop_index,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,WRONG
HANS_HOLBEIN_THE_YOUNGER_5.jpg,0,1281,4609,1792,4609,1281,5120,1792,5120,FALSE
HANS_HOLBEIN_THE_YOUNGER_5.jpg,1,1345,5313,1856,5313,1345,5824,1856,5824,FALSE
HANS_HOLBEIN_THE_YOUNGER_5.jpg,2,1281,4801,1792,4801,1281,5312,1792,5312,FALSE
HANS_HOLBEIN_THE_YOUNGER_5.jpg,3,1281,4577,1792,4577,1281,4832,1792,4832,FALSE
HANS_HOLBEIN_THE_YOUNGER_5.jpg,4,961,4545,1472,4545,961,5056,1472,5056,FALSE
HANS_HOLBEIN_THE_YOUNGER_5.jpg,5,1537,5505,2048,5505,1537,6016,2048,6016,FALSE
HANS_HOLBEIN_THE_YOUNGER_5.jpg,6,2561,993,3072,993,2561,1248,3072,1248,FALSE
HANS_HOLBEIN_THE_YOUNGER_5.jpg,7,2241,1537,2752,1537,2241,2048,2752,2048,FALSE
HANS_HOLBEIN_THE_YOUNGER_5.jpg,8,1345,4673,1856,4673,1345,4928,1856,4928,FALSE
HANS_HOLBEIN_THE_YOUNGER_5.jpg,9,1409,5409,1920,5409,1409,5664,1920,5664,FALSE
HANS_HOLBEIN_THE_YOUNGER_5.jpg,10,1345,5121,1856,5121,1345,5632,1856,5632,FALSE
HANS_HOLBEIN_THE_YOUNGER_5.jpg,11,2433,705,2944,705,2433,1216,2944,1216,FALSE
HANS_HOLBEIN_THE_YOUNGER_5.jpg,12,1537,5537,2048,5537,1537,5792,2048,5792,FALSE
HANS_HOLBEIN_THE_YOUNGER_5.jpg,13,1985,513,2496,513,1985,1024,2496,1024,FALSE
HANS_HOLBEIN_THE_YOUNGER_5.jpg,14,1473,4673,1984,4673,1473,5184,1984,5184,FALSE
JAMINI_ROY_33.jpg,0,257,193,768,193,257,704,768,704,FALSE
JAMINI_ROY_33.jpg,1,513,449,1000,449,513,960,1000,960,FALSE
JAMINI_ROY_33.jpg,2,1,1,512,1,1,512,512,512,FALSE
JAMINI_ROY_33.jpg,3,513,1,1000,1,513,512,1000,512,FALSE
JAMINI_ROY_33.jpg,4,193,1,704,1,193,512,704,512,FALSE
JAMINI_ROY_33.jpg,5,1,257,512,257,1,768,512,768,FALSE
JAMINI_ROY_33.jpg,6,129,449,640,449,129,960,640,960,FALSE
JAMINI_ROY_33.jpg,7,449,257,960,257,449,768,960,768,FALSE
JAMINI_ROY_33.jpg,8,65,193,576,193,65,448,576,448,FALSE
JAMINI_ROY_33.jpg,9,449,481,960,481,449,736,960,736,FALSE
JAMINI_ROY_33.jpg,10,129,673,640,673,129,928,640,928,FALSE
JAMINI_ROY_33.jpg,11,1,33,512,33,1,288,512,288,FALSE
JAMINI_ROY_33.jpg,12,1,705,512,705,1,1216,512,1216,FALSE
JAMINI_ROY_33.jpg,13,1,577,512,577,1,832,512,832,FALSE
JAMINI_ROY_33.jpg,14,257,161,768,161,257,416,768,416,FALSE
